time,latitude,longitude,d18O_pr,hgtprs,pratesfc,tmp2m
2005-07-16 09:00:00,-84.75299835205078,50.625,-50.47400665283203,4855.458154343069,4.602338776749093e-07,220.26210021972656
2006-01-16 09:00:00,-86.65299987792969,43.125,-29.617794036865234,5126.3127908237275,2.725088734223391e-06,245.20919799804688
2007-02-14 21:00:00,-84.75299835205078,11.25,-32.49433898925781,5009.086259607226,1.8683660982787842e-06,240.71661376953125
2007-02-14 21:00:00,-88.54199981689453,69.375,-51.42845916748047,4998.980404847115,6.880089244987175e-07,233.59365844726562
2007-06-15 21:00:00,-88.54199981689453,30.0,-54.35185241699219,4996.928813117743,7.028083359728043e-07,229.70033264160156
2007-10-16 09:00:00,-82.85099792480469,16.875,-39.1573600769043,4938.521670225263,3.0118305858195527e-06,234.98524475097656
2008-09-15 21:00:00,-80.9469985961914,7.5,-33.82750701904297,4894.2446874678135,1.0321000445401296e-06,229.22084045410156
2009-05-16 09:00:00,-86.65299987792969,35.625,-39.25674057006836,5031.367482437194,5.162725756235886e-06,233.32936096191406
2009-06-15 21:00:00,-82.85099792480469,54.375,-46.95164108276367,5038.379495754838,7.954583338687371e-07,228.43417358398438
2009-11-15 21:00:00,-80.9469985961914,35.625,-38.4898567199707,5090.555422542617,5.933583224759786e-07,239.7015838623047
